Results of simulation:
t	Alpha	Beta	Min RMSE
---------------------------------------
6	0.00	0.56	0.00
7	0.60	0.61	0.01
8	0.61	0.39	0.01
9	0.46	0.95	0.01
10	0.49	0.06	0.01
11	0.19	0.18	0.01
12	0.12	0.37	0.01
13	0.50	0.89	0.01
14	0.60	0.75	0.01
15	0.75	0.69	0.01
16	0.50	0.96	0.01
17	0.45	0.47	0.01
18	0.56	0.91	0.01
19	0.64	0.82	0.01
20	0.13	0.07	0.00
21	0.07	0.88	0.01
22	0.38	0.79	0.01
23	0.71	0.62	0.02
24	0.80	0.81	0.03
25	0.90	0.79	0.04
26	0.05	0.08	0.01
27	0.68	0.95	0.02
28	0.86	0.06	0.03
29	0.95	0.06	0.03
30	0.21	0.46	0.03
31	0.92	0.66	0.03
32	0.59	0.07	0.01
33	0.05	0.29	0.01
34	0.74	0.14	0.02
35	0.65	0.44	0.01
36	0.73	0.53	0.02
37	0.48	0.01	0.02
38	0.88	0.58	0.02
39	0.73	0.63	0.02
40	0.78	0.97	0.01
41	0.27	0.68	0.01
42	0.23	0.64	0.01
43	0.05	0.47	0.01
44	0.43	0.17	0.01
45	0.65	0.05	0.01
46	0.55	0.98	0.02
47	0.55	0.71	0.01
48	0.51	0.49	0.02
49	0.68	0.17	0.02
50	0.65	0.51	0.03
51	0.94	0.07	0.02
52	0.39	0.18	0.02
53	0.79	0.20	0.03
54	0.70	0.02	0.03
55	0.98	0.64	0.05
56	0.81	0.05	0.05
57	0.72	0.03	0.05
58	0.74	0.82	0.06
59	0.77	0.23	0.06
60	0.86	0.14	0.06
61	0.75	0.33	0.07
62	0.40	0.38	0.08
63	0.01	0.97	0.06
64	0.50	0.08	0.04
65	0.34	0.28	0.04
66	0.94	0.27	0.04
67	0.84	0.24	0.03
68	0.08	0.03	0.01
69	0.66	0.87	0.01
70	0.13	0.20	0.01
71	0.33	0.54	0.01
72	0.64	0.70	0.01
73	0.98	0.51	0.02
74	0.63	0.11	0.02
75	0.80	1.00	0.04
76	0.60	0.35	0.04
77	0.67	0.82	0.06
78	0.88	0.41	0.07
79	0.95	0.28	0.07
80	0.39	0.28	0.07
81	0.78	0.08	0.07
82	0.77	0.11	0.06
83	0.91	0.23	0.08
84	0.82	0.82	0.13
85	0.71	0.26	0.13
86	0.87	0.15	0.11
87	0.90	0.15	0.14
88	0.56	0.28	0.14
89	0.37	0.28	0.13
90	0.57	0.53	0.14
91	0.52	0.07	0.12
92	0.79	0.37	0.13
93	0.84	0.19	0.12
94	0.61	0.01	0.10
95	0.97	0.10	0.09
96	0.83	0.37	0.10
97	0.85	0.06	0.10
98	0.64	0.06	0.10
99	0.76	0.02	0.09
100	0.75	0.28	0.11
101	0.95	0.22	0.12
102	0.74	0.10	0.10
103	0.89	0.06	0.10
104	1.00	0.04	0.09
105	0.70	0.25	0.09
106	0.75	0.14	0.09
107	0.71	0.06	0.09
108	0.75	0.39	0.09
109	0.45	0.18	0.08
110	0.70	0.11	0.07
111	0.74	0.27	0.08
112	0.56	0.35	0.08
113	0.50	0.18	0.07
114	0.82	0.24	0.07
115	0.23	0.38	0.07
116	0.77	0.03	0.06
117	0.73	0.06	0.05
118	0.86	0.34	0.06
119	0.32	0.22	0.05
120	0.59	0.16	0.05
121	0.97	0.06	0.05
122	0.61	0.20	0.05
123	0.69	0.62	0.06
124	0.82	0.10	0.06
125	0.07	0.33	0.03
126	0.60	0.56	0.03
127	0.49	0.39	0.03
128	0.02	0.94	0.03
129	0.02	0.16	0.02
130	0.35	0.00	0.02
131	0.12	0.03	0.02
132	0.63	0.18	0.02
